ID row col Width ALBST
L6_5862 221.061183 518.5834502 -0.001324186 0.82341605
L6_5863 227.7416034 518.9340813 0.002245129 0.821454006
L6_5996 224.0977377 524.5441795 0.001602415 0.819491962
L6_5997 230.7781581 524.8948107 0.001369265 0.816875904
L6_6132 227.1342924 530.5049088 -0.002489284 0.815567874
L6_6133 233.8147128 530.85554 0.000541145 0.812951816
L6_6269 230.1708471 536.4656381 -0.003377722 0.811643787
L6_6270 236.8512675 536.8162693 -0.0001546 0.808373714
L6_6271 243.5316879 537.1669004 0.002602376 0.80641167
L6_6409 239.8878222 542.7769986 -0.00137104 0.80510364
L6_6549 242.9243769 548.7377279 -0.00338286 0.801833567
L6_6410 246.5682426 543.1276297 0.000680907 0.801179553
L6_6411 253.248663 543.4782609 0.003609176 0.798563494
L6_6550 249.6047973 549.088359 0.000757277 0.797255465
L6_6551 256.2852177 549.4389902 0.002244804 0.793985392
L6_6692 252.641352 555.0490884 -0.002043415 0.793331377
L6_6693 259.3217724 555.3997195 0.00094943 0.790715319
L6_6836 262.3583271 561.3604488 -0.000983757 0.787445245
L6_6694 266.0021927 555.7503506 0.002855574 0.786137216
L6_6837 269.0387475 561.7110799 0.00019065 0.783521158
L6_6838 275.7191678 562.0617111 0.002183943 0.780251084
L6_6983 278.7557225 568.0224404 -0.001148362 0.776981011
L6_7129 281.7922772 573.9831697 0.001018504 0.771748894
L6_7130 288.4726976 574.3338008 0.001057131 0.769132836
L6_7277 284.828832 579.943899 -0.003309769 0.768478821
L6_7131 295.153118 574.684432 0.003475605 0.766516777
L6_7278 291.5092523 580.2945302 0.000905436 0.765208748
L6_7279 298.1896727 580.6451613 0.002103034 0.761938675
L6_7427 294.545807 586.2552595 0.002179867 0.760630646
L6_7428 301.2262274 586.6058906 -0.000422982 0.758014587
L6_7579 307.9066478 586.9565217 0.001462101 0.753436485
L6_7731 310.9432025 592.9172511 -0.000915193 0.750166411
L6_7732 314.5870681 587.3071529 0.003239954 0.749512397
L6_7885 317.6236228 593.2678822 0.000628978 0.746242324
L6_8041 324.3040432 593.6185133 0.002167158 0.742972251
L6_8040 320.6601776 599.2286115 -0.002113336 0.742318236
L6_8197 327.3405979 599.5792426 -0.000439471 0.739702177
L6_8357 334.0210183 599.9298738 0.000967334 0.73577809
L6_8517 337.057573 605.8906031 -0.001988436 0.732508016
